iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
4060,4_Septembre,2024-01-04T14:00:00+00:00,768.0,7.07722,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
1963,4_Septembre,2024-01-04T23:00:00+00:00,544.0,3.95333,Fluide,2146,4_Septembre-Louis_le_Grand,2147,4_Septembre-Choiseul,Invalide,1996-10-03,2023-01-01,2.3347775747549453,48.86991001871259,Feature,"[[2.333685265697728, 48.870127241110545], [2.3358698838121628, 48.86969279631464]]",LineString,,
1963,4_Septembre,2024-01-04T22:00:00+00:00,538.0,4.33167,Fluide,2146,4_Septembre-Louis_le_Grand,2147,4_Septembre-Choiseul,Invalide,1996-10-03,2023-01-01,2.3347775747549453,48.86991001871259,Feature,"[[2.333685265697728, 48.870127241110545], [2.3358698838121628, 48.86969279631464]]",LineString,,
1963,4_Septembre,2024-01-04T18:00:00+00:00,635.0,6.47,Fluide,2146,4_Septembre-Louis_le_Grand,2147,4_Septembre-Choiseul,Invalide,1996-10-03,2023-01-01,2.3347775747549453,48.86991001871259,Feature,"[[2.333685265697728, 48.870127241110545], [2.3358698838121628, 48.86969279631464]]",LineString,,
1977,4_Septembre,2024-01-04T22:00:00+00:00,538.0,4.33167,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1977,4_Septembre,2024-01-04T20:00:00+00:00,803.0,6.74556,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1977,4_Septembre,2024-01-04T19:00:00+00:00,842.0,6.725,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1977,4_Septembre,2024-01-04T17:00:00+00:00,818.0,7.05889,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1977,4_Septembre,2024-01-04T16:00:00+00:00,766.0,7.61944,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1977,4_Septembre,2024-01-04T14:00:00+00:00,768.0,7.07722,Fluide,2147,4_Septembre-Choiseul,2148,4_Septembre-Gramont,Invalide,1996-10-03,2023-01-01,2.336329719079366,48.869603212893956,Feature,"[[2.3358698838121628, 48.86969279631464], [2.3367895543465687, 48.869513629473275]]",LineString,,
1964,4_Septembre,2024-01-04T23:00:00+00:00,544.0,4.7,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T22:00:00+00:00,538.0,4.69167,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T21:00:00+00:00,591.0,5.11334,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T20:00:00+00:00,803.0,7.05,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T19:00:00+00:00,842.0,7.27,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T17:00:00+00:00,818.0,7.43223,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1964,4_Septembre,2024-01-04T15:00:00+00:00,857.0,7.95444,Fluide,2148,4_Septembre-Gramont,2149,4_Septembre-Richelieu,Invalide,1996-10-03,2023-01-01,2.33769920224824,48.869344114052595,Feature,"[[2.3367895543465687, 48.869513629473275], [2.3386088501499116, 48.86917459863191]]",LineString,,
1978,4_Septembre,2024-01-04T23:00:00+00:00,513.0,6.32667,Fluide,2149,4_Septembre-Richelieu,2150,4_Septembre-Bourse-Vivienne,Invalide,1996-10-03,2023-01-01,2.3393194642294763,48.869034711790604,Feature,"[[2.3386088501499116, 48.86917459863191], [2.340030078309041, 48.8688948249493]]",LineString,,
1978,4_Septembre,2024-01-04T20:00:00+00:00,642.0,7.63889,Fluide,2149,4_Septembre-Richelieu,2150,4_Septembre-Bourse-Vivienne,Invalide,1996-10-03,2023-01-01,2.3393194642294763,48.869034711790604,Feature,"[[2.3386088501499116, 48.86917459863191], [2.340030078309041, 48.8688948249493]]",LineString,,
